# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-a" "/mnt/data/bioinfo/rna_seq_project/reference/Saccharomyces_cerevisiae.R64-1-1.111.gtf" "-o" "gene_counts.txt" "aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aligned_sorted.bam
YDR097C	IV	640109	643837	-	3729	1101
YDR042C	IV	540601	541203	-	603	18
YDL160C	IV	170410	171930	-	1521	460
YDR425W	IV	1320064	1321941	+	1878	233
snR13	IV	1402919	1403042	+	124	19
YDR228C	IV	921926	923806	-	1881	555
YDR319C	IV	1105003	1105827	-	825	314
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	7145
YDR089W	IV	622112	624721	+	2610	1071
tD(GUC)D	IV	568964	569035	+	72	1
YDR275W	IV	1012252	1012959	+	708	323
YDR043C	IV	542674	543369	-	696	385
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	3178
YDR136C	IV	727711	728283	-	573	0
YDL066W	IV	334835	336121	+	1287	3364
YDR302W	IV	1067731	1068390	+	660	497
YDR239C	IV	941057	943420	-	2364	384
YDR539W	IV	1512094	1513605	+	1512	224
tK(CUU)D1	IV	1201750	1201822	+	73	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	1705
YDR493W	IV	1436217	1436588	+	372	381
YDR101C	IV	655686	657467	-	1782	1650
YDR182W-A	IV	829151	829354	+	204	16
YDR212W	IV	887232	888911	+	1680	3147
YDR476C	IV	1410453	1411127	-	675	355
YDL131W	IV	227393	228715	+	1323	4856
YDR458C	IV	1380055	1382046	-	1992	849
YDR081C	IV	607304	610081	-	2778	784
YDL071C	IV	330666	331040	-	375	55
YDR113C	IV	680496	681617	-	1122	359
YDR168W	IV	790328	791848	+	1521	1212
YDR520C	IV	1481085	1483403	-	2319	320
YDR307W	IV	1075865	1077853	+	1989	833
YDR265W	IV	998864	999877	+	1014	363
YDL076C	IV	320668	321552	-	885	503
YDL006W	IV	439909	440754	+	846	440
YDL086W	IV	301413	302234	+	822	363
YDR238C	IV	937895	940816	-	2922	3069
YDR077W	IV	600793	601809	+	1017	8749
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	383
YDL023C	IV	411761	412081	-	321	6
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	10507
YDR036C	IV	523211	524713	-	1503	3
YDR057W	IV	565927	567555	+	1629	569
YDR513W	IV	1471017	1471448	+	432	452
YDR487C	IV	1428354	1428980	-	627	1255
YDR066C	IV	581908	582498	-	591	137
YDR352W	IV	1181801	1182754	+	954	520
YDR278C	IV	1017001	1017318	-	318	0
YDR079C-A	IV	603593	603811	-	219	272
YDR204W	IV	858137	859144	+	1008	280
YDL247W-A	IV	3762	3836	+	75	10
YDL024C	IV	408451	409857	-	1407	33
tA(AGC)D	IV	410379	410451	+	73	0
YDR109C	IV	673520	675667	-	2148	498
YDR466W	IV	1395121	1397817	+	2697	423
YDR427W	IV	1322205	1323386	+	1182	1947
YDL044C	IV	373967	375289	-	1323	296
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	170
YDR193W	IV	844554	844952	+	399	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	312
YDR377W	IV	1228611	1228916	+	306	1867
YDR219C	IV	905455	906852	-	1398	449
YDR416W	IV	1298432	1301011	+	2580	491
YDR365C	IV	1204497	1206383	-	1887	2226
YDL233W	IV	36797	38173	+	1377	268
YDR287W	IV	1035995	1036873	+	879	283
YDR448W	IV	1356065	1357369	+	1305	405
YDR180W	IV	821295	825776	+	4482	490
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	4
tT(AGU)D	IV	434264	434336	-	73	0
YDR294C	IV	1050459	1052228	-	1770	1412
YDR198C	IV	852533	853972	-	1440	349
YDL163W	IV	166956	167258	+	303	0
YDL119C	IV	246689	247612	-	924	123
YDR501W	IV	1451353	1452918	+	1566	264
YDL214C	IV	74446	76545	-	2100	78
YDR264C	IV	996029	998323	-	2295	2372
YDR343C	IV	1159608	1161320	-	1713	160
YDR373W	IV	1222759	1223331	+	573	628
YDR354W	IV	1184747	1185889	+	1143	948
YDR246W	IV	954288	954947	+	660	360
YDR428C	IV	1323454	1324239	-	786	261
YDR157W	IV	769931	770332	+	402	19
YDR316W	IV	1093763	1095178	+	1416	1011
YDL142C	IV	201719	202570	-	852	236
YDR253C	IV	963990	964565	-	576	446
YDL112W	IV	258915	263225	+	4311	1363
YDR545W	IV	1526321	1531711	+	5391	1
YDL187C	IV	125509	125838	-	330	2
YDL138W	IV	213351	215642	+	2292	578
YDR528W	IV	1494586	1495857	+	1272	402
YDR284C	IV	1030550	1031419	-	870	1056
YDR050C	IV	555726	556472	-	747	35083
YDL010W	IV	432330	433025	+	696	128
YDL065C	IV	336249	337277	-	1029	753
YDR349C	IV	1172386	1174176	-	1791	1162
YDL098C	IV	284581	285165	-	585	139
YDL234C	IV	34237	36477	-	2241	642
YDR118W	IV	685882	687840	+	1959	296
YDR118W-A	IV	687768	687884	+	117	4
YDR159W	IV	771877	775782	+	3906	761
YDR111C	IV	678241	679764	-	1524	245
YDR128W	IV	709549	712995	+	3447	782
YDL034W	IV	391783	392127	+	345	17
YDR065W	IV	580687	581784	+	1098	245
YDL004W	IV	443029	443511	+	483	1352
YDR024W	IV	491017	491502	+	486	10
YDL171C	IV	149203	155640	-	6438	5221
YDR083W	IV	612073	613251	+	1179	899
YDR457W	IV	1369790	1379596	+	9807	2556
YDR014W	IV	474046	475989	+	1944	175
YDR206W	IV	862054	864708	+	2655	1358
YDR478W	IV	1414575	1415171	+	597	200
YDR169C	IV	792348	793889	-	1542	557
YDR115W	IV	682175	682492	+	318	405
YDL159W-A	IV	172182	172313	+	132	8
YDL232W	IV	38487	38597	+	111	448
YDL240C-A	IV	22471	22608	-	138	1
tE(CUC)D	IV	1017207	1017278	-	72	0
YDL152W	IV	182822	183187	+	366	0
YDR432W	IV	1328783	1330027	+	1245	2253
YDL022C-A	IV	409808	410056	-	249	0
YDL114W-A	IV	254935	255048	+	114	0
YDR410C	IV	1292372	1293091	-	720	340
YDR464C-A	IV	1392492	1392680	-	189	0
YDL072C	IV	329836	330447	-	612	1229
YDR053W	IV	560249	560644	+	396	19
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	558
YDR482C	IV	1420431	1420838	-	408	203
YDL070W	IV	331024	332940	+	1917	2249
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	13671
YDL135C	IV	218680	219288	-	609	807
YDL077C	IV	316971	320120	-	3150	538
YDR354C-A	IV	1185139	1185282	-	144	0
YDL033C	IV	392659	393912	-	1254	196
YDL031W	IV	394217	397204	+	2988	1800
YDR398W	IV	1267471	1269402	+	1932	1226
YDR326C	IV	1120609	1124925	-	4317	1550
YDL052C	IV	362672	363583	-	912	998
YDR536W	IV	1508005	1509714	+	1710	86
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	45
YDL116W	IV	251566	253746	+	2181	828
YDR028C	IV	497835	500879	-	3045	2084
YDL007W	IV	438047	439360	+	1314	4662
YDR236C	IV	935236	935892	-	657	332
YDR011W	IV	465919	470424	+	4506	1929
YDR155C	IV	768512	769000	-	489	7488
YDR414C	IV	1295598	1296686	-	1089	553
YDR026C	IV	492556	494268	-	1713	589
YDL073W	IV	326613	329567	+	2955	937
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	1
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	408
YDL145C	IV	194571	198176	-	3606	3968
YDR203W	IV	857682	857999	+	318	1
YDL104C	IV	273653	274876	-	1224	223
YDL149W	IV	184925	187918	+	2994	306
YDR231C	IV	926293	926910	-	618	265
YDR045C	IV	547978	548310	-	333	478
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	9642
YDR415C	IV	1297037	1298161	-	1125	525
YDR339C	IV	1149951	1150520	-	570	621
YDL213C	IV	77289	77966	-	678	997
YDR096W	IV	637139	639823	+	2685	348
YDL019C	IV	417663	421514	-	3852	1507
YDL022W	IV	411825	413000	+	1176	1916
YDR413C	IV	1294836	1295411	-	576	1
YDR391C	IV	1257358	1258056	-	699	142
YDR091C	IV	626708	628534	-	1827	3391
YDR240C	IV	943674	945152	-	1479	253
YDL244W	IV	16204	17226	+	1023	13
YDR179C	IV	818708	819196	-	489	177
YDL165W	IV	164290	164865	+	576	406
YDL140C	IV	205360	210561	-	5202	4090
YDR120C	IV	691549	693261	-	1713	1690
YDR003W	IV	454122	454754	+	633	335
YDR499W	IV	1447830	1450073	+	2244	454
YDR166C	IV	786306	789221	-	2916	653
YDL092W	IV	292781	293221	+	441	609
YDL041W	IV	378102	378455	+	354	0
YDL241W	IV	20635	21006	+	372	131
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	6832
YDR277C	IV	1014401	1015702	-	1302	386
YDR291W	IV	1039728	1042961	+	3234	647
YDR475C	IV	1407464	1410094	-	2631	678
YDR244W	IV	950563	952401	+	1839	575
YDR407C	IV	1284069	1287938	-	3870	982
YDR382W	IV	1239492	1239824	+	333	12091
YDR102C	IV	657648	657980	-	333	33
YDL188C	IV	123865	124998	-	1134	865
YDR405W	IV	1277646	1278437	+	792	871
YDR443C	IV	1345676	1349938	-	4263	415
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	226
YDR144C	IV	744311	746101	-	1791	1161
YDL157C	IV	174232	174588	-	357	605
YDL058W	IV	345665	351037	+	5373	1394
YDL096C	IV	286998	287324	-	327	0
YDL155W	IV	176773	178056	+	1284	702
YDR147W	IV	751631	753235	+	1605	527
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	4123
YDL128W	IV	232652	233887	+	1236	1358
YDR310C	IV	1081128	1084316	-	3189	1535
YDL160C-A	IV	169366	169608	-	243	162
YDR127W	IV	704484	709250	+	4767	4755
YDR497C	IV	1443713	1445467	-	1755	10862
YDL162C	IV	167359	167715	-	357	4
tS(AGA)D3	IV	1305630	1305712	+	83	2
YDR201W	IV	856317	856814	+	498	270
YDR163W	IV	781423	781950	+	528	359
YDL146W	IV	192750	194225	+	1476	249
YDR363W-A	IV	1202128	1202397	+	270	1312
YDL221W	IV	62011	62562	+	552	31
YDL089W	IV	296820	298274	+	1455	426
YDR385W	IV	1243230	1245758	+	2529	7296
YDR331W	IV	1129588	1130823	+	1236	735
YDR196C	IV	850274	850999	-	726	450
YDR116C	IV	682724	683581	-	858	849
YDR001C	IV	450220	452475	-	2256	859
YDL230W	IV	42700	43707	+	1008	307
YDR160W	IV	776163	778721	+	2559	503
YDR123C	IV	698554	699468	-	915	396
YDR322W	IV	1110589	1111692	+	1104	746
YDR040C	IV	535192	538467	-	3276	49
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	8569
YDR046C	IV	548762	550576	-	1815	900
YDL057W	IV	351434	352420	+	987	156
YDL248W	IV	1802	2953	+	1152	577
YDR008C	IV	462252	462602	-	351	5
YDR029W	IV	501100	501414	+	315	137
YDR485C	IV	1424820	1427207	-	2388	554
YDR408C	IV	1288215	1288859	-	645	1872
YDR038C	IV	527422	530697	-	3276	0
YDL204W	IV	94605	95786	+	1182	179
YDR019C	IV	484163	485365	-	1203	4079
YDR477W	IV	1412373	1414274	+	1902	1291
YDR254W	IV	965113	966489	+	1377	388
YDR514C	IV	1471548	1472999	-	1452	540
YDR296W	IV	1055212	1055892	+	681	677
YDL216C	IV	68997	70319	-	1323	227
YDL100C	IV	282112	283176	-	1065	2848
YDL068W	IV	333500	333829	+	330	9
YDL026W	IV	404749	405060	+	312	0
YDL124W	IV	240259	241197	+	939	1353
YDL227C	IV	46271	48031	-	1761	1326
YDL111C	IV	263313	264110	-	798	713
YDR324C	IV	1114433	1116763	-	2331	1881
YDL170W	IV	156318	157904	+	1587	613
YDR317W	IV	1102184	1103428	+	1245	168
YDR436W	IV	1334821	1336953	+	2133	353
YDR208W	IV	868224	870563	+	2340	1153
YDR386W	IV	1246084	1247982	+	1899	322
YDR504C	IV	1456311	1456694	-	384	144
YDL220C	IV	62244	65018	-	2775	254
YDR396W	IV	1266295	1266795	+	501	26
YDR258C	IV	971808	974243	-	2436	2924
YDR176W	IV	814452	816560	+	2109	1143
YDL099W	IV	283419	284444	+	1026	978
YDR380W	IV	1234218	1236125	+	1908	242
YDL110C	IV	264512	264964	-	453	514
YDR148C	IV	753675	755066	-	1392	1291
YDL201W	IV	99561	100421	+	861	504
YDL107W	IV	268921	269976	+	1056	305
YDR515W	IV	1473429	1474772	+	1344	652
YDR133C	IV	720962	721297	-	336	2835
YDR378C	IV	1229349	1229609	-	261	639
YDR473C	IV	1404445	1405854	-	1410	379
YDR403W	IV	1274602	1276212	+	1611	121
YDR268W	IV	1004004	1005143	+	1140	362
YDR409W	IV	1289406	1292120	+	2715	561
YDR173C	IV	810565	811632	-	1068	304
YDR187C	IV	836228	836746	-	519	33
YDR389W	IV	1252537	1254501	+	1965	913
YDR417C	IV	1301555	1301926	-	372	1
YDR165W	IV	784871	786205	+	1335	1230
YDL113C	IV	256633	258555	-	1923	468
YDR426C	IV	1321629	1322006	-	378	1
YDR521W	IV	1483141	1483476	+	336	1
YDR086C	IV	616928	617170	-	243	1883
YDL021W	IV	413953	414888	+	936	135
YDR023W	IV	489508	490896	+	1389	4727
YDR394W	IV	1261681	1262967	+	1287	2558
YDR320C-A	IV	1108280	1108498	-	219	333
YDR003W-A	IV	454782	454904	+	123	71
YDR183W	IV	829585	830277	+	693	214
YDR245W	IV	952800	953981	+	1182	2201
YDR431W	IV	1328390	1328701	+	312	0
YDL154W	IV	178334	181039	+	2706	197
YDL184C	IV	130407	130484	-	78	12656
YDR153C	IV	766736	767971	-	1236	765
YDR014W-A	IV	477797	478285	+	489	4
YDR434W	IV	1331237	1332841	+	1605	1150
YDL002C	IV	446967	447578	-	612	506
YDR225W	IV	915530	915928	+	399	4897
YDR418W	IV	1301616	1302113	+	498	2100
YDR224C	IV	914317	914712	-	396	7960
YDR502C	IV	1453310	1454464	-	1155	18508
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	13118
YDL039C	IV	381985	384081	-	2097	852
YDL225W	IV	52445	54100	+	1656	951
YDR259C	IV	974631	975782	-	1152	131
YDR495C	IV	1438115	1441150	-	3036	391
YDL151C	IV	183318	183899	-	582	7
YDR357C	IV	1189199	1189567	-	369	314
YDR370C	IV	1217782	1219110	-	1329	411
YDR298C	IV	1058176	1058814	-	639	2453
YDR276C	IV	1013476	1013643	-	168	3092
YDL185C-A	IV	126608	126835	-	228	7
YDR545C-A	IV	1530863	1531342	-	480	0
tM(CAU)D	IV	1175829	1175901	+	73	0
YDL247W	IV	5985	7814	+	1830	13
YDR406W	IV	1279210	1283799	+	4590	630
YDR273W	IV	1010176	1011273	+	1098	93
YDR269C	IV	1005665	1005988	-	324	1
YDR453C	IV	1365072	1365662	-	591	68
YDR383C	IV	1239960	1240676	-	717	163
YDR375C	IV	1225166	1226536	-	1371	824
YDL161W	IV	167714	169078	+	1365	1019
YDL051W	IV	363952	364779	+	828	1181
YDR084C	IV	613405	614004	-	600	550
YDL056W	IV	352877	355378	+	2502	701
YDR344C	IV	1162006	1162449	-	444	23
YDR320C	IV	1106095	1108101	-	2007	426
YDR221W	IV	907330	909438	+	2109	816
tI(AAU)D	IV	668007	668080	-	74	1
YDL032W	IV	393690	394001	+	312	0
YDR456W	IV	1367485	1369386	+	1902	945
YDL036C	IV	387513	388901	-	1389	376
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	0
YDL217C	IV	67983	68606	-	624	556
snR63	IV	323217	323471	-	255	84
YDR334W	IV	1135932	1140476	+	4545	1422
YDL049C	IV	365068	365874	-	807	282
YDL164C	IV	164987	167254	-	2268	894
YDR384C	IV	1241204	1242031	-	828	413
YDR149C	IV	755555	756262	-	708	1
YDR093W	IV	631282	636120	+	4839	1341
YDR071C	IV	588827	589402	-	576	1455
YDL143W	IV	199996	201582	+	1587	3196
YDR032C	IV	504099	504695	-	597	1493
tR(UCU)D	IV	568882	568953	+	72	0
YDR063W	IV	578663	579112	+	450	420
YDL166C	IV	163449	164042	-	594	578
YDR004W	IV	455201	456583	+	1383	560
YDR151C	IV	764178	765155	-	978	498
YDR037W	IV	525440	527215	+	1776	452
YDL175C	IV	144484	145518	-	1035	310
YDR286C	IV	1035231	1035575	-	345	117
YDR172W	IV	808324	810381	+	2058	4519
YDL174C	IV	145826	147589	-	1764	4089
YDR080W	IV	604008	606986	+	2979	618
YDR503C	IV	1455042	1455866	-	825	222
YDR069C	IV	584939	587719	-	2781	400
YDR047W	IV	551860	552948	+	1089	970
YDR215C	IV	894089	894502	-	414	16
YDR267C	IV	1002510	1003502	-	993	674
YDR142C	IV	740473	741600	-	1128	259
YDL212W	IV	78426	79058	+	633	2365
YDR249C	IV	958681	959802	-	1122	151
YDL209C	IV	86207	87226	-	1020	235
YDR044W	IV	546642	547628	+	987	498
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	6
YDR311W	IV	1085065	1086993	+	1929	486
YDL159C-B	IV	173056	173232	-	177	0
YDR222W	IV	910054	911301	+	1248	337
YDR510C-A	IV	1469695	1469811	-	117	22
YDR401W	IV	1272223	1272786	+	564	0
YDR207C	IV	865012	867522	-	2511	490
YDL005C	IV	441014	442309	-	1296	634
YDR295C	IV	1052623	1054647	-	2025	473
YDR543C	IV	1524634	1524933	-	300	0
YDL208W	IV	87512	87982	+	471	2311
YDR135C	IV	723004	727551	-	4548	3691
YDL114W	IV	255604	256530	+	927	14
YDR247W	IV	956013	957398	+	1386	181
YDL197C	IV	104917	106494	-	1578	410
YDR229W	IV	924785	926146	+	1362	392
YDR095C	IV	636117	636527	-	411	3
YDR027C	IV	494649	497318	-	2670	836
YDL106C	IV	270222	271901	-	1680	429
YDR404C	IV	1276654	1277169	-	516	580
YDR256C	IV	968133	969680	-	1548	190
YDR518W	IV	1478608	1480161	+	1554	427
YDR055W	IV	563527	564861	+	1335	1925
YDL087C	IV	300214	300999	-	786	113
YDR177W	IV	816878	817525	+	648	1256
YDL014W	IV	427364	428347	+	984	5959
YDR289C	IV	1038280	1039509	-	1230	390
YDL159W	IV	172481	174028	+	1548	226
YDR532C	IV	1499396	1500553	-	1158	322
YDR137W	IV	728259	730250	+	1992	587
YDL153C	IV	181186	183018	-	1833	1344
YDR393W	IV	1259901	1261271	+	1371	604
YDR506C	IV	1459728	1461554	-	1827	269
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	492
YDL090C	IV	295034	296329	-	1296	385
YDR033W	IV	508147	509109	+	963	10484
YDR035W	IV	521816	522928	+	1113	1834
YDR332W	IV	1131001	1133070	+	2070	291
YDR510W	IV	1469400	1469705	+	306	1089
YDL055C	IV	355674	356759	-	1086	13005
YDR480W	IV	1417399	1418370	+	972	264
YDL103C	IV	275148	276581	-	1434	841
YDL085C-A	IV	302464	302670	-	207	593
YDR350C	IV	1176120	1178174	-	2055	524
YDR342C	IV	1154216	1155928	-	1713	255
YDR087C	IV	617470	618306	-	837	735
YDL236W	IV	32296	33234	+	939	1267
YDR012W	IV	471853	472941	+	1089	9083
YDL121C	IV	245133	245582	-	450	994
YDR525W-A	IV	1490596	1490835	+	240	112
tG(GCC)D2	IV	992832	992902	+	71	10
YDL190C	IV	118707	121592	-	2886	1125
YDL047W	IV	369771	370706	+	936	1051
YDR099W	IV	653607	654428	+	822	2726
YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	648
YDR164C	IV	782041	784215	-	2175	713
YDR058C	IV	567723	568703	-	981	212
YDL020C	IV	415113	416708	-	1596	1321
YDL025C	IV	405344	407206	-	1863	747
YDR374C	IV	1223474	1224394	-	921	28
YDL207W	IV	88248	89864	+	1617	687
YDR270W	IV	1005675	1008689	+	3015	737
YDR152W	IV	765706	766503	+	798	919
YDL148C	IV	188154	190586	-	2433	1642
tI(UAU)D	IV;IV	884361;884458	884397;884493	+;+	73	6
YDR379C-A	IV	1233278	1233517	-	240	99
YDR218C	IV	903781	905052	-	1272	35
YDL018C	IV	422833	423510	-	678	462
YDR507C	IV	1462358	1465786	-	3429	1689
YDL003W	IV	444683	446383	+	1701	1405
YDR524C-B	IV	1489598	1489798	-	201	18630
YDR371W	IV	1219413	1220948	+	1536	357
YDR359C	IV	1191936	1194884	-	2949	657
YDL180W	IV	135896	137539	+	1644	604
YDL133W	IV	222427	223740	+	1314	385
YDR335W	IV	1141168	1144842	+	3675	1975
YDR351W	IV	1178666	1181260	+	2595	716
YDL150W	IV	183343	184611	+	1269	381
YDL177C	IV	141209	141721	-	513	175
YDR171W	IV	806621	807748	+	1128	837
YDR364C	IV	1202843	1204210	-	1368	357
YDR309C	IV	1079048	1080199	-	1152	697
YDL239C	IV	26403	28775	-	2373	234
YDL228C	IV	45277	45918	-	642	12
YDL156W	IV	174918	176486	+	1569	257
YDL016C	IV	425570	425872	-	303	121
tX(XXX)D	IV	1150842	1150941	-	100	0
YDR524W-C	IV	1489403	1489492	+	90	6428
YDL085W	IV	303211	304848	+	1638	54
YDR300C	IV	1061505	1062791	-	1287	1112
YDL168W	IV	159604	160764	+	1161	1322
YDR360W	IV	1194598	1195032	+	435	19
YDR195W	IV	848599	850200	+	1602	450
YDR321W	IV	1108702	1109847	+	1146	1136
YDR237W	IV	936615	937493	+	879	1151
YDL127W	IV	234927	235853	+	927	268
YDR107C	IV	669016	671034	-	2019	331
YDR472W	IV	1403322	1404173	+	852	457
YDL030W	IV	397537	399129	+	1593	397
YDR468C	IV	1398026	1398700	-	675	613
YDL084W	IV	305237	306577	+	1341	5173
YDL203C	IV	96082	97953	-	1872	581
YDL025W-A	IV	405410	405514	+	105	0
YDR285W	IV	1032436	1035063	+	2628	150
YDL229W	IV	44065	45906	+	1842	11007
YDR329C	IV	1126270	1127595	-	1326	806
YDR034C	IV	509737	512109	-	2373	1298
YDR009W	IV	463434	464996	+	1563	63
tS(AGA)D2	IV	980974	981055	-	82	5
YDR488C	IV	1429188	1430789	-	1602	297
YDR103W	IV	658350	661103	+	2754	528
YDR336W	IV	1145092	1146036	+	945	191
YDL101C	IV	280307	281848	-	1542	587
YDR162C	IV	780390	781100	-	711	404
YDR312W	IV	1087581	1088942	+	1362	690
YDL061C	IV	340628	340798	-	171	4815
YDL040C	IV	378874	381438	-	2565	1972
YDR145W	IV	746738	748357	+	1620	1202
YDR124W	IV	700315	701289	+	975	152
YDL231C	IV	38867	42244	-	3378	1024
YDR190C	IV	840604	841995	-	1392	1980
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	543
YDR463W	IV	1386816	1388375	+	1560	1308
YDR491C	IV	1434500	1434991	-	492	53
YDR449C	IV	1357580	1358902	-	1323	741
YDL035C	IV	389172	392057	-	2886	854
YDR074W	IV	593893	596583	+	2691	1165
YDR525W	IV	1489905	1490234	+	330	4
YDR257C	IV	969990	971474	-	1485	679
YDR402C	IV	1272234	1273703	-	1470	31
YDR450W	IV;IV	1359923;1360405	1359969;1360798	+;+	441	13522
YDR376W	IV	1226822	1228303	+	1482	563
YDR161W	IV	779043	780206	+	1164	825
YDR090C	IV	625066	625998	-	933	387
YDR189W	IV	838392	840392	+	2001	1006
YDR524C	IV	1487542	1488990	-	1449	594
YDL237W	IV	30657	31829	+	1173	731
YDR188W	IV	836421	838061	+	1641	3388
YDL133C-A	IV	221724	221801	-	78	12506
YDR531W	IV	1498232	1499335	+	1104	1365
tG(GCC)D1	IV	83548	83618	+	71	0
YDR226W	IV	916486	917154	+	669	6244
YDL054C	IV	359825	361285	-	1461	765
YDL205C	IV	92762	93745	-	984	917
YDR537C	IV	1510856	1511461	-	606	1
YDR496C	IV	1441433	1443403	-	1971	1818
YDR313C	IV	1089219	1090079	-	861	287
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	336
tV(CAC)D	IV	1075472	1075544	-	73	0
YDR340W	IV	1150881	1151183	+	303	9
YDL147W	IV	190924	192261	+	1338	2913
YDL081C	IV	309802	310122	-	321	10643
YDR283C	IV	1025070	1030049	-	4980	854
YDR261C	IV	977521	979209	-	1689	1003
YDL211C	IV	79294	80412	-	1119	201
